Slice,Count,Total Area,Average Size,%Area,Total weight,Sample weight,FreshLA/DryMass
PROREP002.jpg,90,160.708,4.056,34.898,22.503,5.131,31.32099006
PROREP003.jpg,111,35.672,0.321,9.108,18.461,1.089,32.75665748
PROREP004.jpg,115,47.938,0.417,13.329,18.954,1.582,30.30214918
PROREP006.jpg,33,41.674,1.263,12.999,18.444,1.072,38.875
ELYRHI001.jpg,997,1.175,0.001,1.494,17.409,0.037,31.75675676
ELYRHI003.jpg,1249,1.056,8.46E-04,1.646,17.41,0.038,27.78947368
ELYRHI005.jpg,858,0.785,9.15E-04,1.219,17.401,0.029,27.06896552
ELYRHI006.jpg,1613,2.324,0.001,1.611,17.454,0.082,28.34146341
CANCON_LMA.jpg,51,25.188,0.494,13.48,16.351,2.82,8.931914894
ERIMON_LMA.jpg,1047,15.708,0.015,4.919,13.828,0.297,52.88888889
