Slice,Count,Total Area,Average Size,%Area,Total weight,Sample weight,FreshLA/DryMass
AGACAP001.jpg,30,0.306,0.01,0.415,17.377,0.005,61.2
AGACAP002.jpg,53,0.347,0.007,0.674,17.377,0.005,69.4
AGACAP003.jpg,43,0.476,0.011,1.054,17.382,0.01,47.6
AGACAP004.jpg,46,0.61,0.013,2.135,17.384,0.012,50.83333333
ASPSHA001.jpg,309,15.661,0.051,3.183,18.073,0.701,22.34094151
ASPSHA004.jpg,85,3.261,0.038,2.228,17.496,0.124,26.2983871
ASPSHA007.jpg,67,1.927,0.029,1.36,17.424,0.052,37.05769231
LOBDEC001.jpg,37,14.366,0.388,8.039,17.631,0.259,55.46718147
LOBDEC003.jpg,31,16.208,0.523,10.248,17.615,0.243,66.69958848
LOBDEC004.jpg,24,11.805,0.492,8.487,17.557,0.185,63.81081081
LOBDEC005.jpg,26,21.629,0.832,11.675,17.711,0.339,63.80235988
PROLOR003.jpg,59,198.169,3.359,41.11,27.728,10.356,19.13567014
PROLOR004.jpg,490,446.327,1.817,93.425,38.061,20.689,21.57315482
PROLOR006.jpg,467,615.847,2.662,125.788,46.414,29.042,21.20539219
PROLOR007.jpg,395,245.321,0.621,49.155,29.978,12.606,19.46065366
PROREP002.jpg,90,160.708,4.056,34.898,22.503,5.131,31.32099006
PROREP003.jpg,111,35.672,0.321,9.108,18.461,1.089,32.75665748
PROREP004.jpg,115,47.938,0.417,13.329,18.954,1.582,30.30214918
PROREP006.jpg,33,41.674,1.263,12.999,18.444,1.072,38.875
SELDOL001.jpg,193,2.821,0.015,1.416,17.421,0.049,57.57142857
SELDOL003.jpg,112,1.511,0.013,1.149,17.405,0.033,45.78787879
SELDOL006.jpg,19,0.352,0.019,1.118,17.391,0.019,18.52631579
