Slice,Count,Total Area,Average Size,%Area,Total weight,Sample weight,FreshLA/DryMass
CLURUB001.jpg,102,2.105,0.021,1.945,17.4,0.028,75.17857143
CLURUB004.jpg,56,1.842,0.033,2.055,17.4,0.028,65.78571429
CLURUB005.jpg,99,2.304,0.023,1.032,17.404,0.032,72
CLURUB006.jpg,119,2.91,0.024,1.604,17.414,0.042,69.28571429
ELYRHI001.jpg,997,1.175,0.001,1.494,17.409,0.037,31.75675676
ELYRHI003.jpg,1249,1.056,8.46E-04,1.646,17.41,0.038,27.78947368
ELYRHI005.jpg,858,0.785,9.15E-04,1.219,17.401,0.029,27.06896552
ELYRHI006.jpg,1613,2.324,0.001,1.611,17.454,0.082,28.34146341
MICPOL001.jpg,189,4.805,0.025,1.404,17.467,0.095,50.57894737
MICPOL002.jpg,75,2.591,0.035,1.167,17.418,0.046,56.32608696
MICPOL007.jpg,82,2.395,0.029,0.937,17.415,0.043,55.69767442
MICPOL008.jpg,71,3.366,0.047,0.918,17.419,0.047,71.61702128
OEDSQU005.jpg,119,6.285,0.053,2.262,17.502,0.13,48.34615385
OEDSQU006.jpg,39,2.904,0.074,2.52,17.425,0.053,54.79245283
OEDSQU007.jpg,77,14.353,0.186,5.495,17.6,0.228,62.95175439
OEDSQU008.jpg,90,10.95,0.122,5.828,17.581,0.209,52.3923445
PASOBT001.jpg,104,2.533,0.024,1.841,17.447,0.075,33.77333333
PASOBT002.jpg,87,2.182,0.025,1.684,17.431,0.059,36.98305085
PASOBT005.jpg,88,1.804,0.021,1.913,17.422,0.05,36.08
PASOBT008.jpg,60,1.515,0.025,2.068,17.414,0.042,36.07142857
PROLAU001.jpg,42,93.799,2.233,23.314,21.032,3.66,25.62814208
PROLAU003.jpg,1205,201.176,0.167,40.449,24.595,7.223,27.852139
PROLAU007.jpg,40,101.059,2.526,28.287,20.825,3.453,29.26701419
PROLAU008.jpg,66,208.034,3.152,42.233,26.167,8.795,23.65366686
RUSMUL002.jpg,28,5.059,0.181,4.38,17.631,0.259,19.53281853
RUSMUL005.jpg,35,6.627,0.189,6.195,17.741,0.369,17.95934959
RUSMUL006.jpg,15,4.045,0.27,8.962,17.579,0.207,19.5410628
RUSMUL008.jpg,21,3.935,0.187,4.868,17.548,0.176,22.35795455
WAHNOD001.jpg,123,3.513,0.029,1.195,17.405,0.033,106.4545455
WAHNOD002.jpg,24,0.537,0.022,1.017,17.377,0.005,107.4
WAHNOD006.jpg,46,0.697,1.50E-02,0.548,17.376,0.004,174.25
WAHNOD007.jpg,89,1.602,0.018,0.509,17.384,0.012,133.5
