ID_Code,dry_wt
DKF231124AGACAP_20C_sample_1,0.06
DKF231124AGACAP_20C_sample_2,0.04
DKF231124AGACAP_20C_sample_3,0.03
DKF231124AGACAP_20C_sample_4,0.04
DKF231124AGACAP_20C_sample_5,0.03
DKF231124AGACAP_20C_sample_6,0.09
DKF231124AGACAP_25C_sample_1,0.05
DKF231124AGACAP_25C_sample_2,0.05
DKF231124AGACAP_25C_sample_3,0.04
DKF231124AGACAP_25C_sample_4,0.02
DKF231124AGACAP_25C_sample_5,0.1
DKF231124AGACAP_25C_sample_6,0.06
DKF231124AGACAP_35C_sample_1,0.03
DKF231124AGACAP_35C_sample_2,0.04
DKF231124AGACAP_35C_sample_3,0.05
DKF231124AGACAP_35C_sample_4,0.03
DKF231124AGACAP_35C_sample_5,0.06
DKF231124AGACAP_35C_sample_6,0.09
DKF231124AGACAP_40C_sample_1,0.04
DKF231124AGACAP_40C_sample_2,0.07
DKF231124AGACAP_40C_sample_3,0.03
DKF231124AGACAP_40C_sample_4,0.04
DKF231124AGACAP_40C_sample_5,0.1
DKF231124AGACAP_40C_sample_6,0.05
DKF231124ASPSHA_20C_sample_1,0.46
DKF231124ASPSHA_20C_sample_2,0.45
DKF231124ASPSHA_20C_sample_3,1.41
DKF231124ASPSHA_20C_sample_4,0.48
DKF231124ASPSHA_20C_sample_5,0.55
DKF231124ASPSHA_20C_sample_6,0.95
DKF231124ASPSHA_25C_sample_1,0.6
DKF231124ASPSHA_25C_sample_2,0.54
DKF231124ASPSHA_25C_sample_3,0.21
DKF231124ASPSHA_25C_sample_4,0.4
DKF231124ASPSHA_25C_sample_5,0.99
DKF231124ASPSHA_25C_sample_6,0.65
DKF231124ASPSHA_35C_sample_1,0.24
DKF231124ASPSHA_35C_sample_2,1.23
DKF231124ASPSHA_35C_sample_3,0.28
DKF231124ASPSHA_35C_sample_4,0.54
DKF231124ASPSHA_35C_sample_5,0.27
DKF231124ASPSHA_35C_sample_6,1.06
DKF231124ASPSHA_40C_sample_1,0.27
DKF231124ASPSHA_40C_sample_2,0.63
DKF231124ASPSHA_40C_sample_3,0.22
DKF231124ASPSHA_40C_sample_4,0.95
DKF231124ASPSHA_40C_sample_5,0.43
DKF231124ASPSHA_40C_sample_6,0.25
DKF231124LOBDEC_20C_sample_1,0.42
DKF231124LOBDEC_20C_sample_2,0.61
DKF231124LOBDEC_20C_sample_3,0.77
DKF231124LOBDEC_20C_sample_4,0.48
DKF231124LOBDEC_20C_sample_5,0.05
DKF231124LOBDEC_20C_sample_6,0.18
DKF231124LOBDEC_25C_sample_1,0.64
DKF231124LOBDEC_25C_sample_2,0.74
DKF231124LOBDEC_25C_sample_3,0.93
DKF231124LOBDEC_25C_sample_4,0.23
DKF231124LOBDEC_25C_sample_5,0.34
DKF231124LOBDEC_25C_sample_6,0.13
DKF231124LOBDEC_35C_sample_1,0.61
DKF231124LOBDEC_35C_sample_2,0.65
DKF231124LOBDEC_35C_sample_3,0.87
DKF231124LOBDEC_35C_sample_4,0.23
DKF231124LOBDEC_35C_sample_5,0.51
DKF231124LOBDEC_35C_sample_6,0.53
DKF231124LOBDEC_40C_sample_1,0.24
DKF231124LOBDEC_40C_sample_2,0.46
